,ALDER,KOMGRP,TID,INDHOLD
642,40-44 år,Brøndby,2024,2565
643,40-44 år,Gentofte,2024,4259
644,40-44 år,Gladsaxe,2024,4819
645,40-44 år,Glostrup,2024,1510
646,40-44 år,Herlev,2024,2015
647,40-44 år,Hvidovre,2024,3754
648,40-44 år,Høje-Taastrup,2024,3884
649,40-44 år,Ishøj,2024,1629
650,40-44 år,Lyngby-Taarbæk,2024,3515
651,40-44 år,Rødovre,2024,3071
652,40-44 år,Vallensbæk,2024,1292
653,40-44 år,Allerød,2024,1570
654,40-44 år,Egedal,2024,2710
655,40-44 år,Fredensborg,2024,2413
656,40-44 år,Frederikssund,2024,2381
657,40-44 år,Furesø,2024,2837
658,40-44 år,Gribskov,2024,1953
659,40-44 år,Halsnæs,2024,1594
660,40-44 år,Helsingør,2024,3184
661,40-44 år,Hillerød,2024,3168
662,40-44 år,Hørsholm,2024,1267
663,40-44 år,Rudersdal,2024,3253
664,40-44 år,Bornholm,2024,1946
665,40-44 år,Christiansø,2024,6
666,40-44 år,Greve,2024,3228
667,40-44 år,Køge,2024,3450
668,40-44 år,Lejre,2024,1729
669,40-44 år,Roskilde,2024,5282
670,40-44 år,Solrød,2024,1566
671,40-44 år,Faxe,2024,2032
672,40-44 år,Guldborgsund,2024,3087
673,40-44 år,Holbæk,2024,4121
674,40-44 år,Kalundborg,2024,2541
675,40-44 år,Lolland,2024,1958
676,40-44 år,Næstved,2024,4617
677,40-44 år,Odsherred,2024,1508
678,40-44 år,Ringsted,2024,2144
679,40-44 år,Slagelse,2024,4173
